# epoch	train_loss	s_hit	s_ndcg	t_hit	t_ndcg
10	527.933073	0.018132	0.006571	0.042094	0.017073
20	616.734400	0.135165	0.058464	0.257479	0.120079
30	605.445204	0.145330	0.066268	0.282906	0.131438
40	597.966399	0.147527	0.064615	0.282265	0.130738
50	594.336625	0.156044	0.068528	0.274145	0.127052
60	590.450865	0.154121	0.067997	0.286966	0.133574
70	589.783630	0.164560	0.071495	0.286752	0.133765
80	585.181632	0.164560	0.074079	0.295085	0.137026
90	581.940446	0.165659	0.073170	0.293590	0.138081
100	581.659659	0.163462	0.075145	0.294872	0.140255
110	580.768754	0.167582	0.074037	0.294017	0.139338
120	578.125154	0.164560	0.074826	0.298932	0.144346
130	576.374250	0.166209	0.075985	0.300427	0.144738
140	574.520491	0.163736	0.074088	0.298504	0.143442
150	573.374074	0.168407	0.076440	0.303419	0.146766
160	572.112007	0.166758	0.077539	0.307906	0.147540
170	570.041684	0.169231	0.079032	0.308974	0.147080
180	569.176578	0.168956	0.079464	0.310897	0.148314
190	568.247597	0.168407	0.078021	0.314530	0.150746
200	567.334949	0.167857	0.077993	0.318162	0.151439
210	567.853812	0.170330	0.079743	0.313675	0.149633
220	564.705943	0.169780	0.079500	0.316453	0.151601
230	563.649942	0.167857	0.079424	0.325000	0.155684
240	562.662914	0.178022	0.083639	0.317735	0.153066
250	563.043997	0.175275	0.081303	0.322863	0.154747
260	562.619492	0.176374	0.081283	0.325427	0.156557
270	560.186828	0.172527	0.080218	0.327350	0.156889
280	560.542158	0.176099	0.083538	0.327778	0.157194
290	559.119696	0.173626	0.080457	0.328846	0.157320
300	559.062990	0.175000	0.082689	0.331624	0.159151
310	558.897243	0.179945	0.084073	0.329915	0.157721
320	557.420674	0.182967	0.085741	0.329915	0.156764
330	556.301792	0.174725	0.082869	0.330769	0.158571
340	557.480494	0.176374	0.084120	0.333120	0.160541
350	556.862972	0.182418	0.086209	0.333120	0.160666
360	557.528507	0.177473	0.084195	0.329060	0.159222
370	556.013100	0.182418	0.084824	0.335470	0.160262
380	554.811547	0.181868	0.086405	0.333974	0.160512
390	556.090580	0.182418	0.085787	0.335897	0.160581
400	555.162660	0.178846	0.084348	0.335043	0.160766
410	554.841284	0.178297	0.084455	0.334188	0.160435
420	553.774417	0.180769	0.084527	0.342094	0.163770
430	552.858346	0.182418	0.085612	0.336111	0.161132
440	552.099209	0.178022	0.083414	0.335897	0.162017
450	552.862421	0.177473	0.083253	0.336111	0.161620
460	552.733595	0.179670	0.083378	0.339530	0.162847
470	551.506896	0.181044	0.085149	0.335470	0.162278
480	551.603990	0.179121	0.083903	0.339530	0.162218
490	552.258705	0.181868	0.085052	0.338675	0.162149
500	550.283572	0.183516	0.086298	0.337179	0.161771
